nazov,okres,typ_zariadenia,detail_url,kategoria,operator,kod,psc,mesto,web,email,telefon,ulica
"Stacionár, neurológia, Bratislava-Staré Mesto, (Mediconet Slovakia, s. r. o.)",Bratislava I,Ambulantné,https://www.e-vuc.sk/bsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/bratislava-i/stacionar-neurologia-bratislava-stare-mesto-mediconet-slovakia-s.-r.-o..html?page_id=153106,Iné,"Mediconet Slovakia, s. r. o.",61-44441371-A0022,81108,"Bratislava - mestská časť Staré Mesto
Poisťovne",,,,
"Stacionár, vnútorné lekárstvo, Bratislava-Staré Mesto, (Mediconet Slovakia, s. r. o.)",Bratislava I,Ambulantné,https://www.e-vuc.sk/bsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/bratislava-i/stacionar-vnutorne-lekarstvo-bratislava-stare-mesto-mediconet-slovakia-s.-r.-o..html?page_id=153107,Iné,"Mediconet Slovakia, s. r. o.",61-44441371-A0023,81108,"Bratislava - mestská časť Staré Mesto
Poisťovne",,,,
"Stacionár, klinická imunológia a alergológia, Bratislava-Staré Mesto, (Mediconet Slovakia, s. r. o.)",Bratislava I,Ambulantné,https://www.e-vuc.sk/bsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/bratislava-i/stacionar-klinicka-imunologia-a-alergologia-bratislava-stare-mesto-mediconet-slovakia-s.-r.-o..html?page_id=153108,Iné,"Mediconet Slovakia, s. r. o.",61-44441371-A0024,81108,"Bratislava - mestská časť Staré Mesto
Poisťovne",,,,
"SVaLZ, funkčná diagnostika, Bratislava-Staré Mesto, (Mediconet Slovakia, s. r. o.)",Bratislava I,Ambulantné,https://www.e-vuc.sk/bsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/bratislava-i/svalz-funkcna-diagnostika-bratislava-stare-mesto-mediconet-slovakia-s.-r.-o..html?page_id=153109,SVaLZ,"Mediconet Slovakia, s. r. o.",61-44441371-A0026,81108,"Bratislava - mestská časť Staré Mesto
Poisťovne",,,,
"Ambulancia plastickej chirurgie, Bratislava-Staré Mesto, (PZ AESTHETICS s. r. o.)",Bratislava I,Ambulantné,https://www.e-vuc.sk/bsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/bratislava-i/ambulancia-plastickej-chirurgie-bratislava-stare-mesto-pz-aesthetics-s.-r.-o.-1.html?page_id=153019,Ambulancia,PZ AESTHETICS s. r. o.,61-52729893-A0003,81109,"Bratislava - mestská časť Staré Mesto
Poisťovne",www.peterziak.com,,,
"Jednodňová zdravotná starostlivosť, plastická chirurgia, Bratislava-Staré Mesto, (PZ AESTHETICS s. r. o.)",Bratislava I,Ambulantné,https://www.e-vuc.sk/bsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/bratislava-i/jednodnova-zdravotna-starostlivost-plasticka-chirurgia-bratislava-stare-mesto-pz-aesthetics-s.-r.-o..html?page_id=153020,Jednodňová starostlivosť,PZ AESTHETICS s. r. o.,61-52729893-A0004,81109,"Bratislava - mestská časť Staré Mesto
Poisťovne",www.peterziak.com,,,
"Pneumologicko-ftizeologická ambulancia, MUDr. Katarína Bánska. PhD., Bratislava-Staré Mesto, (HEDAK, s.r.o.)",Bratislava I,Ambulantné,https://www.e-vuc.sk/bsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/bratislava-i/pneumologicko-ftizeologicka-ambulancia-mudr.-katarina-banska.-phd.-bratislava-stare-mesto-hedak.html?page_id=152970,Ambulancia,"HEDAK, s.r.o.",61-35769971-A0041,81107,"Bratislava - mestská časť Staré Mesto
Poisťovne",,,,
"Ambulancia klinickej psychológie, Bratislava-Staré Mesto, (EFT Institute Slovakia s. r. o.)",Bratislava I,Ambulantné,https://www.e-vuc.sk/bsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/bratislava-i/ambulancia-klinickej-psychologie-bratislava-stare-mesto-eft-institute-slovakia-s.-r.-o..html?page_id=152861,Ambulancia,EFT Institute Slovakia s. r. o.,61-55456855-A0001,81106,"Bratislava - mestská časť Staré Mesto
Poisťovne",,,,
"Ambulancia poradenskej psychológie, Bratislava-Staré Mesto, (EFT Institute Slovakia s. r. o.)",Bratislava I,Ambulantné,https://www.e-vuc.sk/bsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/bratislava-i/ambulancia-poradenskej-psychologie-bratislava-stare-mesto-eft-institute-slovakia-s.-r.-o..html?page_id=152862,Ambulancia,EFT Institute Slovakia s. r. o.,61-55456855-A0002,81106,"Bratislava - mestská časť Staré Mesto
Poisťovne",,,,
"Ambulancia pracovnej a organizačnej psychológie, Bratislava-Staré Mesto, (EFT Institute Slovakia s. r. o.)",Bratislava I,Ambulantné,https://www.e-vuc.sk/bsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/bratislava-i/ambulancia-pracovnej-a-organizacnej-psychologie-bratislava-stare-mesto-eft-institute-slovakia-s.-r.-o..html?page_id=152863,Ambulancia,EFT Institute Slovakia s. r. o.,61-55456855-A0003,81106,"Bratislava - mestská časť Staré Mesto
Poisťovne",,,,
"Všeobecná ambulancia pre deti a dorast, Bratislava-Staré Mesto, (Nová Pediatria, s. r. o.)",Bratislava I,Ambulantné,https://www.e-vuc.sk/bsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/bratislava-i/vseobecna-ambulancia-pre-deti-a-dorast-bratislava-stare-mesto-nova-pediatria-s.-r.-o..html?page_id=152857,Ambulancia,"Nová Pediatria, s. r. o.",61-56870582-A0001,81108,"Bratislava - mestská časť Staré Mesto
Poisťovne",www.novapediatria.sk,ambulancia@novapediatria.sk,,
"Ambulancia anestéziológie a intenzívnej medicíny, Martin Buršík, Bratislava-Staré Mesto, (MedExp, s.r.o.)",Bratislava I,Ambulantné,https://www.e-vuc.sk/bsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/bratislava-i/ambulancia-anesteziologie-a-intenzivnej-mediciny-martin-bursik-bratislava-stare-mesto-medexp.html?page_id=152808,Ambulancia,"MedExp, s.r.o.",61-55248331-A0002,81109,"Bratislava - mestská časť Staré Mesto
Poisťovne",,,,
"Jednodňová zdravotná starostlivosť, anestéziológia a intenzívna medicína, Martin Buršík, Bratislava-Staré Mesto, (MedExp, s.r.o.)",Bratislava I,Ambulantné,https://www.e-vuc.sk/bsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/bratislava-i/jednodnova-zdravotna-starostlivost-anesteziologia-a-intenzivna-medicina-martin-bursik-bratislava-stare-mesto-medexp.html?page_id=152809,Jednodňová starostlivosť,"MedExp, s.r.o.",61-55248331-A0003,81109,"Bratislava - mestská časť Staré Mesto
Poisťovne",,,,
"SVaLZ, rádiológia, Bratislava-Staré Mesto, (Cliniq s. r. o.)",Bratislava I,Ambulantné,https://www.e-vuc.sk/bsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/bratislava-i/svalz-radiologia-bratislava-stare-mesto-cliniq-s.-r.-o.-1.html?page_id=152797,SVaLZ,Cliniq s. r. o.,61-51179458-A0060,81109,"Bratislava - mestská časť Staré Mesto
Poisťovne",,,,
"SVaLZ, rádiológia, Bratislava-Staré Mesto, (Cliniq s. r. o.)",Bratislava I,Ambulantné,https://www.e-vuc.sk/bsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/bratislava-i/svalz-radiologia-bratislava-stare-mesto-cliniq-s.-r.-o.-2.html?page_id=152798,SVaLZ,Cliniq s. r. o.,61-51179458-A0061,81109,"Bratislava - mestská časť Staré Mesto
Poisťovne",,,,
"SVaLZ, rádiológia, Bratislava-Staré Mesto, (Cliniq s. r. o.)",Bratislava I,Ambulantné,https://www.e-vuc.sk/bsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/bratislava-i/svalz-radiologia-bratislava-stare-mesto-cliniq-s.-r.-o.-3.html?page_id=152799,SVaLZ,Cliniq s. r. o.,61-51179458-A0062,81109,"Bratislava - mestská časť Staré Mesto
Poisťovne",,,,
"SVaLZ, rádiológia, Bratislava-Staré Mesto, (Cliniq s. r. o.)",Bratislava I,Ambulantné,https://www.e-vuc.sk/bsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/bratislava-i/svalz-radiologia-bratislava-stare-mesto-cliniq-s.-r.-o.-4.html?page_id=152800,SVaLZ,Cliniq s. r. o.,61-51179458-A0063,81109,"Bratislava - mestská časť Staré Mesto
Poisťovne",,,,
"Ambulancia plastickej chirurgie, Bratislava-Staré Mesto, (PZ AESTHETICS s. r. o.)",Bratislava I,Ambulantné,https://www.e-vuc.sk/bsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/bratislava-i/ambulancia-plastickej-chirurgie-bratislava-stare-mesto-pz-aesthetics-s.-r.-o..html?page_id=152724,Ambulancia,PZ AESTHETICS s. r. o.,61-52729893-A0002,81109,"Bratislava - mestská časť Staré Mesto
Poisťovne",www.peterziak.com,,,
"Ambulancia vnútorného lekárstva, Bratislava-Staré Mesto, (DoktorPRO s.r.o.)",Bratislava I,Ambulantné,https://www.e-vuc.sk/bsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/bratislava-i/ambulancia-vnutorneho-lekarstva-bratislava-stare-mesto-doktorpro.html?page_id=152711,Ambulancia,DoktorPRO s.r.o.,61-50372394-A0019,82109,"Bratislava - mestská časť Staré Mesto
Poisťovne",,,,
"Chirurgická ambulancia, Bratislava-Staré Mesto, (DoktorPRO s.r.o.)",Bratislava I,Ambulantné,https://www.e-vuc.sk/bsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/bratislava-i/chirurgicka-ambulancia-bratislava-stare-mesto-doktorpro.html?page_id=152712,Ambulancia,DoktorPRO s.r.o.,61-50372394-A0013,82109,"Bratislava - mestská časť Staré Mesto
Poisťovne",,,,
"Dermatovenerologická ambulancia, Bratislava-Staré Mesto, (DoktorPRO s.r.o.)",Bratislava I,Ambulantné,https://www.e-vuc.sk/bsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/bratislava-i/dermatovenerologicka-ambulancia-bratislava-stare-mesto-doktorpro.html?page_id=152713,Ambulancia,DoktorPRO s.r.o.,61-50372394-A0016,82109,"Bratislava - mestská časť Staré Mesto
Poisťovne",,,,
"Gastroenterologická ambulancia, Bratislava-Staré Mesto, (DoktorPRO s.r.o.)",Bratislava I,Ambulantné,https://www.e-vuc.sk/bsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/bratislava-i/gastroenterologicka-ambulancia-bratislava-stare-mesto-doktorpro.html?page_id=152714,Ambulancia,DoktorPRO s.r.o.,61-50372394-A0017,82109,"Bratislava - mestská časť Staré Mesto
Poisťovne",,,,
"Gynekologická ambulancia, Bratislava-Staré Mesto, (DoktorPRO s.r.o.)",Bratislava I,Ambulantné,https://www.e-vuc.sk/bsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/bratislava-i/gynekologicka-ambulancia-bratislava-stare-mesto-doktorpro.html?page_id=152715,Ambulancia,DoktorPRO s.r.o.,61-50372394-A0012,82109,"Bratislava - mestská časť Staré Mesto
Poisťovne",,,,
"Kardiologická ambulancia, Bratislava-Staré Mesto, (DoktorPRO s.r.o.)",Bratislava I,Ambulantné,https://www.e-vuc.sk/bsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/bratislava-i/kardiologicka-ambulancia-bratislava-stare-mesto-doktorpro.html?page_id=152716,Ambulancia,DoktorPRO s.r.o.,61-50372394-A0020,82109,"Bratislava - mestská časť Staré Mesto
Poisťovne",,,,
"Otorinolaryngologická ambulancia, Bratislava-Staré Mesto, (DoktorPRO s.r.o.)",Bratislava I,Ambulantné,https://www.e-vuc.sk/bsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/bratislava-i/otorinolaryngologicka-ambulancia-bratislava-stare-mesto-doktorpro.html?page_id=152717,Ambulancia,DoktorPRO s.r.o.,61-50372394-A0015,82109,"Bratislava - mestská časť Staré Mesto
Poisťovne",,,,
"Urologická ambulancia, Bratislava-Staré Mesto, (DoktorPRO s.r.o.)",Bratislava I,Ambulantné,https://www.e-vuc.sk/bsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/bratislava-i/urologicka-ambulancia-bratislava-stare-mesto-doktorpro.html?page_id=152718,Ambulancia,DoktorPRO s.r.o.,61-50372394-A0014,82109,"Bratislava - mestská časť Staré Mesto
Poisťovne",,,,
"SVaLZ, rádiológia, Bratislava-Staré Mesto, (DoktorPRO s.r.o.)",Bratislava I,Ambulantné,https://www.e-vuc.sk/bsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/bratislava-i/svalz-radiologia-bratislava-stare-mesto-doktorpro.html?page_id=152719,SVaLZ,DoktorPRO s.r.o.,61-50372394-A0018,82109,"Bratislava - mestská časť Staré Mesto
Poisťovne",,,,
"Soft Skin Clinic, Bratislava-Staré Mesto, (MKMA servis s. r. o.)",Bratislava I,Ambulantné,https://www.e-vuc.sk/bsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/bratislava-i/soft-skin-clinic-bratislava-stare-mesto-mkma-servis-s.-r.-o..html?page_id=152674,Iné,MKMA servis s. r. o.,61-54849667-A0001,81108,"Bratislava - mestská časť Staré Mesto
Poisťovne",www.softskinstudio.sk,,,
"Dermatovenerologická ambulancia, Bratislava-Staré Mesto, (DANUMED, s. r. o.)",Bratislava I,Ambulantné,https://www.e-vuc.sk/bsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/bratislava-i/dermatovenerologicka-ambulancia-bratislava-stare-mesto-danumed-s.-r.-o..html?page_id=152400,Ambulancia,"DANUMED, s. r. o.",61-46694340-A0002,81107,"Bratislava - mestská časť Staré Mesto
Poisťovne",,,,
"Chirurgická ambulancia, Bratislava-Staré Mesto, (Necros s.r.o.)",Bratislava I,Ambulantné,https://www.e-vuc.sk/bsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/bratislava-i/chirurgicka-ambulancia-bratislava-stare-mesto-necros.html?page_id=152379,Ambulancia,Necros s.r.o.,61-54799660-A0001,81107,"Bratislava - mestská časť Staré Mesto
Poisťovne",,,,
"Ambulancia čeľustnej ortopédie, Bratislava-Staré Mesto, (Dentme s. r. o.)",Bratislava I,Ambulantné,https://www.e-vuc.sk/bsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/bratislava-i/ambulancia-celustnej-ortopedie-bratislava-stare-mesto-dentme-s.-r.-o..html?page_id=152270,Ambulancia,Dentme s. r. o.,61-53262506-A0003,81107,"Bratislava - mestská časť Staré Mesto
Poisťovne",www.dentme.sk,,,
"Ambulancia anestéziológie a intenzívnej medicíny, Bratislava-Staré Mesto, (Cliniq s. r. o.)",Bratislava I,Ambulantné,https://www.e-vuc.sk/bsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/bratislava-i/ambulancia-anesteziologie-a-intenzivnej-mediciny-bratislava-stare-mesto-cliniq-s.-r.-o..html?page_id=152258,Ambulancia,Cliniq s. r. o.,61-51179458-A0056,81109,"Bratislava - mestská časť Staré Mesto
Poisťovne",,,,
"Ambulancia cievnej chirurgie, Bratislava-Staré Mesto, (Cliniq s. r. o.)",Bratislava I,Ambulantné,https://www.e-vuc.sk/bsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/bratislava-i/ambulancia-cievnej-chirurgie-bratislava-stare-mesto-cliniq-s.-r.-o..html?page_id=152259,Ambulancia,Cliniq s. r. o.,61-51179458-A0054,81109,"Bratislava - mestská časť Staré Mesto
Poisťovne",,,,
"Ambulancia plastickej chirurgie, Bratislava-Staré Mesto, (Cliniq s. r. o.)",Bratislava I,Ambulantné,https://www.e-vuc.sk/bsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/bratislava-i/ambulancia-plastickej-chirurgie-bratislava-stare-mesto-cliniq-s.-r.-o..html?page_id=152260,Ambulancia,Cliniq s. r. o.,61-51179458-A0055,81109,"Bratislava - mestská časť Staré Mesto
Poisťovne",,,,
"Chirurgická ambulancia, Bratislava-Staré Mesto, (Cliniq s. r. o.)",Bratislava I,Ambulantné,https://www.e-vuc.sk/bsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/bratislava-i/chirurgicka-ambulancia-bratislava-stare-mesto-cliniq-s.-r.-o..html?page_id=152261,Ambulancia,Cliniq s. r. o.,61-51179458-A0053,81109,"Bratislava - mestská časť Staré Mesto
Poisťovne",,,,
"Jednodňová zdravotná starostlivosť, cievna chirurgia, Bratislava-Staré Mesto, (Cliniq s. r. o.)",Bratislava I,Ambulantné,https://www.e-vuc.sk/bsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/bratislava-i/jednodnova-zdravotna-starostlivost-cievna-chirurgia-bratislava-stare-mesto-cliniq-s.-r.-o..html?page_id=152262,Jednodňová starostlivosť,Cliniq s. r. o.,61-51179458-A0057,81109,"Bratislava - mestská časť Staré Mesto
Poisťovne",,,,
"Jednodňová zdravotná starostlivosť, plastická chirurgia, Bratislava-Staré Mesto, (Cliniq s. r. o.)",Bratislava I,Ambulantné,https://www.e-vuc.sk/bsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/bratislava-i/jednodnova-zdravotna-starostlivost-plasticka-chirurgia-bratislava-stare-mesto-cliniq-s.-r.-o..html?page_id=152263,Jednodňová starostlivosť,Cliniq s. r. o.,61-51179458-A0058,81109,"Bratislava - mestská časť Staré Mesto
Poisťovne",,,,
"Jednodňová zdravotná starostlivosť, anestéziológia a intenzívna medicína, Bratislava-Staré Mesto, (Cliniq s. r. o.)",Bratislava I,Ambulantné,https://www.e-vuc.sk/bsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/bratislava-i/jednodnova-zdravotna-starostlivost-anesteziologia-a-intenzivna-medicina-bratislava-stare-mesto-cliniq-s.-r.-o..html?page_id=152264,Jednodňová starostlivosť,Cliniq s. r. o.,61-51179458-A0059,81109,"Bratislava - mestská časť Staré Mesto
Poisťovne",,,,
"Chirurgická ambulancia, MUDr. Karim Masalkhi, Bratislava-Staré Mesto, (Proctocare s. r. o.)",Bratislava I,Ambulantné,https://www.e-vuc.sk/bsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/bratislava-i/chirurgicka-ambulancia-mudr.-karim-masalkhi-bratislava-stare-mesto-proctocare-s.-r.-o..html?page_id=152192,Ambulancia,Proctocare s. r. o.,51-52588319-A0001,81107,"Bratislava - mestská časť Staré Mesto
Poisťovne",,proctocare.info@gmail.com,,
"Proctocare, Bratislava-Staré Mesto, (Proctocare s. r. o.)",Bratislava I,Ambulantné,https://www.e-vuc.sk/bsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/bratislava-i/proctocare-bratislava-stare-mesto-proctocare-s.-r.-o..html?page_id=152193,Iné,Proctocare s. r. o.,51-52588319-A0006,81107,"Bratislava - mestská časť Staré Mesto
Poisťovne",,proctocare.info@gmail.com,+421948687667,
"Gastroenterologická ambulancia, MUDr.Tomas Zamborsky, Bratislava-Staré Mesto, (Proctocare s. r. o.)",Bratislava I,Ambulantné,https://www.e-vuc.sk/bsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/bratislava-i/gastroenterologicka-ambulancia-mudr.tomas-zamborsky-bratislava-stare-mesto-proctocare-s.-r.-o..html?page_id=152194,Ambulancia,Proctocare s. r. o.,51-52588319-A0005,81107,"Bratislava - mestská časť Staré Mesto
Poisťovne",,proctocare.info@gmail.com,+421948687667,
"Neurologická ambulancia, MUDr.Michal kozmon, Bratislava-Staré Mesto, (Proctocare s. r. o.)",Bratislava I,Ambulantné,https://www.e-vuc.sk/bsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/bratislava-i/neurologicka-ambulancia-mudr.michal-kozmon-bratislava-stare-mesto-proctocare-s.-r.-o..html?page_id=152195,Ambulancia,Proctocare s. r. o.,51-52588319-A0003,81107,"Bratislava - mestská časť Staré Mesto
Poisťovne",,proctocare.info@gmail.com,+421948687667,
"Urologická ambulancia, MUDr.Lubos Rybar, Bratislava-Staré Mesto, (Proctocare s. r. o.)",Bratislava I,Ambulantné,https://www.e-vuc.sk/bsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/bratislava-i/urologicka-ambulancia-mudr.lubos-rybar-bratislava-stare-mesto-proctocare-s.-r.-o..html?page_id=152196,Ambulancia,Proctocare s. r. o.,51-52588319-A0004,81107,"Bratislava - mestská časť Staré Mesto
Poisťovne",,,,
"Ambulancia zubného lekárstva, Bratislava-Staré Mesto, (Sapphire Dental Clinic s.r.o.)",Bratislava I,Ambulantné,https://www.e-vuc.sk/bsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/bratislava-i/ambulancia-zubneho-lekarstva-bratislava-stare-mesto-sapphire-dental-clinic.html?page_id=152110,Ambulancia,Sapphire Dental Clinic s.r.o.,61-55462448-A0001,81109,"Bratislava - mestská časť Staré Mesto
Poisťovne",,,,
"Ambulancia zubného lekárstva, Bratislava-Staré Mesto, (Sapphire Dental Clinic s.r.o.)",Bratislava I,Ambulantné,https://www.e-vuc.sk/bsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/bratislava-i/ambulancia-zubneho-lekarstva-bratislava-stare-mesto-sapphire-dental-clinic-1.html?page_id=152111,Ambulancia,Sapphire Dental Clinic s.r.o.,61-55462448-A0002,81109,"Bratislava - mestská časť Staré Mesto
Poisťovne",,,,
"Ambulancia zubného lekárstva, Bratislava-Staré Mesto, (Sapphire Dental Clinic s.r.o.)",Bratislava I,Ambulantné,https://www.e-vuc.sk/bsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/bratislava-i/ambulancia-zubneho-lekarstva-bratislava-stare-mesto-sapphire-dental-clinic-2.html?page_id=152112,Ambulancia,Sapphire Dental Clinic s.r.o.,61-55462448-A0003,81109,"Bratislava - mestská časť Staré Mesto
Poisťovne",,,,
"SVaLZ, fyzioterapia, Bratislava-Staré Mesto, (Mgr. Samuel Kotlár)",Bratislava I,Ambulantné,https://www.e-vuc.sk/bsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/bratislava-i/svalz-fyzioterapia-bratislava-stare-mesto-mgr.-samuel-kotlar.html?page_id=152103,SVaLZ,Mgr. Samuel Kotlár,61-56073020-A0001,81109,"Bratislava - mestská časť Staré Mesto
Poisťovne",,,,
"Ambulancia zubného lekárstva, Bratislava-Staré Mesto, (Dental Education Clinic s. r. o.)",Bratislava I,Ambulantné,https://www.e-vuc.sk/bsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/bratislava-i/ambulancia-zubneho-lekarstva-bratislava-stare-mesto-dental-education-clinic-s.-r.-o..html?page_id=152098,Ambulancia,Dental Education Clinic s. r. o.,61-55417558-A0001,81101,"Bratislava - mestská časť Staré Mesto
Poisťovne",,,,
"Ambulancia zubného lekárstva, Bratislava-Staré Mesto, (Dental Education Clinic s. r. o.)",Bratislava I,Ambulantné,https://www.e-vuc.sk/bsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/bratislava-i/ambulancia-zubneho-lekarstva-bratislava-stare-mesto-dental-education-clinic-s.-r.-o.-1.html?page_id=152099,Ambulancia,Dental Education Clinic s. r. o.,61-55417558-A0002,81101,"Bratislava - mestská časť Staré Mesto
Poisťovne",,,,
"Neurologická ambulancia, Bratislava-Staré Mesto, (Esthetic, s.r.o.)",Bratislava I,Ambulantné,https://www.e-vuc.sk/bsk/zdravotnictvo/ambulantne-zdravotnicke-zariadenia/bratislava-i/neurologicka-ambulancia-bratislava-stare-mesto-esthetic.html?page_id=151989,Ambulancia,"Esthetic, s.r.o.",61-35971835-A0005,81103,"Bratislava - mestská časť Staré Mesto
Poisťovne",www.esthetic.sk,recepcia@esthetic.sk,,
